file,width,height,duration_s,size_mb,orientation
3fa7f4aa-da4b-4a39-87d8-30c0b18f6663.MP4,480,848,15.02,1.56,portrait
5dd2e0010f37ec8df5a6768d79271418.mov,714,404,120.00,121.68,landscape
9b460fdb70044685b31ffbe4f08b2a30.MP4,720,1280,19.67,12.90,portrait
IMG_7840.MOV,1920,1440,50.30,94.10,landscape
IMG_9428.MOV,1920,1440,4.00,5.47,landscape
cfaea841af0f603ec11a672f8a09907b.MP4,720,1280,60.00,7.23,portrait
copy_CBC1D5EF-C70B-4878-A5C9-BB7B9343BC9E.MOV,1080,1920,41.54,62.50,portrait
d5c49dc6-474f-4f71-98f6-802a6180cdf6.MP4,480,848,15.02,1.86,portrait
e1f0083b-1843-47ef-8804-61381f60fb18.mov,316,564,25.48,18.25,portrait
e84977d5f9fd00187a012c242d5decbb.mov,712,400,60.00,45.34,landscape
v24044gl0000d069krvog65s53bhvpeg.MP4,576,1024,59.23,3.20,portrait
v24044gl0000d1lf3anog65h09p5u3ug.MP4,576,1024,10.01,0.39,portrait
video_1_d9366d20fed24eb38ca93b3f496cf5f6.MP4,592,1052,15.00,4.23,portrait
